name,price,old_price,discount
" Elitebook 840/830 G5/G6 14-inch FHD (1920x1080) Business Laptop Intel Core I5, 8GB RAM, 256GB SSD , Windows 11 Pro- Refurbished Grade A","UGX 999,700","UGX 1,500,000",33%
"DELL Renewed Latitude 5440 Core i5 8GB RAM 500GB HDD,14"",Windows 10 - Black","UGX 499,000","UGX 750,000",33%
"Renewed Latitude 7470, Core I7 8GB RAM, 256GB SSD, 14-Inch FHD Display, Black, Business Laptop 6months Warranty","UGX 899,000","UGX 1,700,000",47%
"Hp Intel Core i7, Touchscreen, 16GB RAM, 512GB SSD","UGX 3,339,000","UGX 4,000,000",17%
"Hp Elitebook 8460/8470, Core i5, 14.1, 8GB RAM 500GB Mettalic Body -Silver - Renewed","UGX 449,000","UGX 760,000",41%
"Hp Renewed 12.5"" EliteBook 820,Core I5 8GB Ram,500GB HDD- Black Grade A","UGX 547,530","UGX 1,189,995",54%
"Hp Stream Pro G4  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Grey- Renewed","UGX 329,000","UGX 550,000",40%
"Refurbished Acer 4GB RAM 128GB SSD 12"" Screen Black","UGX 349,000","UGX 889,988",61%
"Refurbished ThinkPad T470s/ T460s 14 Inch, Core i5 ,8GB Ram, 256GB SSD, Windows 11 - Black (6MTHS WRTY)","UGX 699,000","UGX 1,500,000",53%
"HP EliteBook 840, Core i5, 16GB Ram, 500GB Storage Refurbished -Black (6MNTHS WRNTY)","UGX 629,500","UGX 1,300,000",52%
Refurbished Probook 640 core i5 8GB RAM  500GB HDD.GRADE  A+ (Refurbished). Black(6months warranty),"UGX 499,500","UGX 800,000",38%
"DELL 3000 Series Mini Laptop,Intel Duo Core,64GB SSD,4GB RAM,11.6""-Gey/Black,Renewed","UGX 319,000","UGX 690,000",54%
"Acer Travelmate x360 Spin Mini Laptop,Touch Screen,4GB RAM,128GB SSD,11.6 Inch","UGX 469,000","UGX 999,000",53%
"Apple MacBook Pro 15-inch (2016) – Intel Core i7, 16GB RAM, 512GB SSD, Touch Bar (Renewed) 1 Yr Wrnty","UGX 1,035,000","UGX 2,400,000",57%
Lenovo 100e 4th Gen 128GB Strorage (64SSD + 64 Memory Card)EMMC 4GB RAM WiFi - HDMI - Camera - Bluetooth Refurb (6 Months WRTY) Small & Slim.,"UGX 329,900","UGX 650,000",49%
"Lenovo Refurbished X270/X260 i5 Think pad – DDR4 8GB ram ,256Gb SSD,  Laptop/ Windows 10 Pro","UGX 699,000","UGX 1,500,000",53%
"DELL Latitude 3340/3350 13.3 Inch Intel Core I5, 12GB RAM, 1TB HDD (Renewed)with Free Bag - Grey","UGX 650,000","UGX 750,000",13%
"Hp EliteBook 820 g2/g1 Business Laptop, Intel Core i5, 8GB  RAM, 500GB HDD, 12.5 inch Display, Windows 10 Pro (Renewed)-Black","UGX 550,000","UGX 900,000",39%
"Refurbished ThinkPad 11e 4GBRAM 128GB SSD 11.6"" Plus Free Mouse-Black (Grade A)","UGX 350,000","UGX 650,000",46%
"Ultrabook x250/x240 12.5"" Inch Core i5, 8GB RAM, 500GB HDD-Black","UGX 499,000","UGX 899,000",44%
"11e Laptop 11.6"" Screen,4GB RAM, 500GB HDD Refurbished - Black(3MTHS WRTY) Grade A","UGX 380,700","UGX 900,000",58%
"Think Pad Renewed 11e Mini,11.6"" 4GB RAM,128GB SSD, Bag, Mouse - Black","UGX 379,000","UGX 1,109,012",66%
